公	B-Effect
司	I-Effect
第	I-Effect
四	I-Effect
季	I-Effect
度	I-Effect
亏	I-Effect
损	I-Effect
较	I-Effect
大	I-Effect
主	O
要	O
是	B-T
由	I-T
于	I-T
无	B-Cause
形	I-Cause
资	I-Cause
产	I-Cause
摊	I-Cause
销	I-Cause
、	O
外	B-Cause
购	I-Cause
煤	I-Cause
销	I-Cause
量	I-Cause
、	I-Cause
澳	I-Cause
大	I-Cause
利	I-Cause
亚	I-Cause
煤	I-Cause
炭	I-Cause
销	I-Cause
量	I-Cause
以	I-Cause
及	I-Cause
鄂	I-Cause
尔	I-Cause
多	I-Cause
斯	I-Cause
能	I-Cause
化	I-Cause
煤	I-Cause
炭	I-Cause
销	I-Cause
量	I-Cause
同	I-Cause
比	I-Cause
均	I-Cause
有	I-Cause
所	I-Cause
增	I-Cause
加	I-Cause
